file_path,file_type,stage_number,stage_name,branch_id,data_branch,tuning_method,augmentation_strategy,validation_method,description,generated_by_script
outputs/metrics/layered_pipeline/00_cleanup_report.csv,csv,00,auditoria_y_diagrama,,,,,loeo,auditoria y archivado de outputs deprecated,run_layered_pipeline.py
outputs/metrics/layered_pipeline/00_leakage_checks.csv,csv,00,auditoria_y_diagrama,,,,,loeo,verificacion anti-leakage de los splits y features,run_layered_pipeline.py
outputs/figures/layered_pipeline/00_layered_flow_diagram_no_holdout.png,figure,00,auditoria_y_diagrama,,,,,loeo,diagrama metodologico del flujo,run_layered_pipeline.py
outputs/metrics/layered_pipeline/01_feature_columns.csv,csv,01,dataset_features,,,,,loeo,lista de features ML usadas,run_layered_pipeline.py
outputs/metrics/layered_pipeline/01_modeling_dataset_summary.csv,csv,01,dataset_features,,,,,loeo,"resumen del dataset (n_exp, VB range, etc.)",run_layered_pipeline.py
outputs/metrics/layered_pipeline/02_loeo_folds.csv,csv,02,splits_loeo_folds,,,,,loeo,definicion de los 10 folds LOEO,run_layered_pipeline.py
outputs/metrics/layered_pipeline/03_N_ST_loeo_metrics.csv,csv,03,baseline_N_ST,N_ST,N,none,,loeo,,run_layered_pipeline.py
outputs/metrics/layered_pipeline/04_N_CT_random_loeo_metrics.csv,csv,04,tuning_N_CT_random,N_CT_RANDOM,N,random,,loeo,,run_layered_pipeline.py
outputs/metrics/layered_pipeline/05_N_CT_grid_loeo_metrics.csv,csv,05,tuning_N_CT_grid,N_CT_GRID,N,grid,,loeo,,run_layered_pipeline.py
outputs/metrics/layered_pipeline/06_A_ST_feature_noise_loeo_metrics.csv,csv,06,augmentation_A_ST,A_ST_FEATURE_NOISE,A,none,feature_noise,loeo,,run_layered_pipeline.py
outputs/metrics/layered_pipeline/06_A_ST_feature_scaling_loeo_metrics.csv,csv,06,augmentation_A_ST,A_ST_FEATURE_SCALING,A,none,feature_scaling,loeo,,run_layered_pipeline.py
